id,name,city,country
1,Emma Meyer,Berlin,Germany
2,Sarah Ryan,Canberra,Australia
3,Yegor Novikov,Odesa,Ukraine
4,Ramón Muñoz,Braga,Portugal
5,Karl Johannessen,Osio,Norway
6,Ahmed Canaan,Alexandria,Egypt
7,Graciela Díaz,Guayana City,Venezuela
8,Lakshmi Sharma,Chennai,India
9,Silvia Márquez,Cartagena,Colombia
10,Daniela Álvarez,Lisbon,Portugal
11,Estela Ruiz,Porto,Portugal
12,Carlos Muñoz,Manaus,Brazil
13,Molly Wood,Liverpool,United Kingdom
14,Sofia Petrova,Samara,Russia
15,Shaiming Zhu,Shanghai,China
16,Lisbeth Halvorsen,Osio,Norway
17,Sarah Nabil,Cairo,Egypt
18,Cheng Sun,Guangzhou,China
19,Frida Krause,Munich,Germany
20,Kostya Semyenov,Saint Petersburg,Russia
21,Nicoletta Russo,Rome,Italy
22,Ernesto Ruiz,Mexico City,Mexico
23,Viktor Ivanov,Saint Petersburg,Russia
24,Hans Boor,Rotterdam,Netherlands
25,Zoltan Xenakis,Corinth,Greece
26,Juan Domínguez,Fortaleza,Brazil
27,Hye Jin Han,Incheon,South Korea
28,Lina Kadam,Jaipur,India
29,Marina Sidorova,Moscow,Russia
30,Paula Kelly,Makassar,Indonesia
31,Harald Eriksen,Osio,Norway
32,Abhijit Sen,Jaipur,India
33,Irina Lebedeva,Kyiv,Ukraine
34,Ludmila Morozova,Kyiv,Ukraine
35,Sofia Romano,Florence,Italy
36,Fernando Moreno,Madrid,Spain
37,Arianna Rossi,Pisa,Italy
38,Rose Ross,Aberdeen,Scotland
39,Anastasia Kakos,Corinth,Greece
40,Aliza Segel,Petah Tikva,Israel
41,Abebi Ngele,Durban,South Africa
42,Marni Meir,Petah Tikva,Israel
43,Hassan Ghalib,Giza,Egypt
44,Cristina Torres,Braga,Portugal
45,Tracy O'Neill,Cork,Ireland
46,Eva Zinchenko,Samara,Russia
47,Liora Eliad,Jerusalem,Israel
48,Estela Fernández,Fortaleza,Brazil
49,Khaled Amin,Cairo,Egypt
50,Jack Kelly,Semarang,Indonesia
51,Marina Volkova,Saint Petersburg,Russia
52,Boris Chepurnov,Kyiv,Ukraine
53,Khadija Tariq,Cairo,Egypt
54,Julia Zielińska,Warsaw,Poland
55,Xenia Sanchez,Caracas,Venezuela
56,Kang Dae Jang,Busan,South Korea
57,Elena Smirnova,Kharkiv,Ukraine
58,John Lee,Jakarta,Indonesia
59,Fredrik Haugen,Stockholm,Sweden
60,Raquel Navarro,Lisbon,Portugal
61,Paulina Jabłońska,Kraków,Poland
62,Andrea López,São Paulo,Brazil
63,Felipe Gutiérrez,Valencia,Spain
64,Roberto García,Valencia,Spain
65,Sam Chang,Busan,South Korea
66,Shaiming Ye,Shanghai,China
67,Mal Chin Han,Busan,South Korea
68,Ambrosia Nicolo,Patras,Greece
69,Holly Kelly,Bandung,Indonesia
70,Kathleen Wallace,Dundee,Scotland
71,Amit Kadam,Mumbai,India
72,Valentina Basso,Bologna,Italy
73,Mary Wilson,Sidney,Australia
74,Gabriela Sánchez,Valencia,Spain
75,Dakarai Owusu,Durban,South Africa
76,Talya Aslan,Izmir,Turkey
77,Rob Barnes,Quebec City,Canada
78,Mustapha Mufaddal,Multan,Pakistan
79,Rob Ray,Vancouver,Canada
80,Natsuki Endo,Tokyo,Japan
81,Elsa Flores,Cali,Colombia
82,Julia Vázquez,Barcelona,Spain
83,Lok Liu,Beijing,China
84,Johan Berg,Trondheim,Norway
85,Holly Jackson,Burmingham,United Kingdom
86,Begum Agca,Istanbul,Turkey
